,Max Temp,Lon,Lat,% Humidity,% Cloudiness,Wind speed
victoria,26.0,115.24,5.28,88,90,1.0
provideniya,-10.06,-173.23,64.42,100,88,8.52
vikramasingapuram,29.0,77.39,8.71,79,20,1.5
shar,24.54,8.73,7.3,86,68,4.37
east london,21.0,27.91,-33.02,83,20,3.6
saint-philippe,3.33,-73.48,45.36,93,90,5.1
cape town,20.56,18.42,-33.93,68,0,5.1
albany,5.0,-73.75,42.65,80,90,9.8
sur,21.79,59.53,22.57,100,0,4.22
chuy,19.84,-53.46,-33.69,84,64,2.57
hobart,17.78,147.33,-42.88,77,40,4.6
new norfolk,17.78,147.06,-42.78,77,40,4.6
port alfred,20.0,26.89,-33.59,95,20,5.82
belturbet,6.67,-7.44,54.1,73,12,1.79
nome,27.78,-94.42,30.04,22,1,2.82
hithadhoo,29.69,73.08,-0.6,100,80,2.47
kahului,27.0,-156.47,20.89,57,20,6.2
palatka,25.56,-81.64,29.65,15,1,5.7
mount isa,26.0,139.49,-20.73,65,0,3.6
hilo,25.56,-155.08,19.71,64,90,1.5
busselton,10.0,115.35,-33.64,65,48,7.92
rikitea,26.14,-134.97,-23.12,98,48,7.92
hamilton,21.11,-64.78,32.3,73,75,11.3
ribeira grande,17.0,-28.7,38.52,82,75,3.6
dharchula,-1.16,80.53,29.85,68,0,0.97
yellowknife,-0.57,-114.38,62.45,74,20,6.7
panaba,30.54,-88.27,21.28,33,0,3.27
mayo,14.0,-135.9,63.59,35,75,2.6
los llanos de aridane,18.0,-17.92,28.66,68,75,9.3
yakeshi,-15.01,120.73,49.28,55,0,3.17
rocha,19.29,-54.34,-34.48,60,88,1.57
rajakhera,18.44,78.17,26.9,38,0,4.32
thompson,8.0,-97.86,55.74,39,40,5.7
bayir,10.0,28.22,37.27,87,0,1.5
pevek,-26.21,170.27,69.7,45,0,2.52
san patricio,23.54,-56.83,-26.98,67,0,1.52
farah,11.49,62.11,32.37,58,56,1.57
mataura,17.22,168.86,-46.19,83,44,0.45
punta arenas,15.0,-70.91,-53.16,47,40,4.6
hermanus,18.89,19.24,-34.42,83,36,4.02
sungaipenuh,18.64,101.38,-2.08,94,56,0.62
winnemucca,13.0,-117.74,40.97,37,20,6.2
quatre cocos,28.0,57.76,-20.21,78,40,5.1
jamestown,19.59,138.6,-33.21,73,92,2.57
payakumbuh,21.84,100.63,-0.23,92,64,1.02
kargasok,-6.91,80.87,59.06,76,56,1.02
hovd,9.0,10.7,63.83,84,75,12.3
nouadhibou,19.0,-17.03,20.93,82,40,4.1
butaritari,24.59,172.79,3.07,100,92,2.37
havoysund,0.0,24.66,71.0,93,0,11.8
sampit,22.24,112.95,-2.54,96,48,1.32
broken hill,25.0,141.45,-31.97,36,40,1.77
westport,8.33,-9.52,53.8,93,40,3.1
uyskoye,-10.11,60.01,54.37,60,0,1.22
beyneu,2.94,55.19,45.32,84,24,1.27
srednekolymsk,-24.31,153.71,67.46,38,0,1.62
bereda,10.0,-7.54,43.27,93,0,0.5
barrow,22.74,-60.23,-38.31,45,0,5.47
khatanga,-27.36,102.47,71.98,25,0,3.67
bougouni,28.39,-7.49,11.42,35,32,2.87
porbandar,21.34,69.61,21.64,83,0,4.02
mahebourg,28.0,57.7,-20.41,78,40,5.1
leningradskiy,-25.21,178.42,69.38,83,20,1.62
cherskiy,-26.51,161.3,68.75,23,0,1.42
geraldton,-2.0,-86.95,49.72,36,5,4.1
pihuamo,30.0,-103.38,19.25,40,20,5.1
mishan,-12.66,131.88,45.55,69,44,0.77
puerto ayora,29.0,-90.35,-0.74,70,20,3.6
ouadda,28.44,22.4,8.07,24,0,5.02
azle,25.56,-97.55,32.9,28,1,5.1
pasaje,27.44,-103.81,24.93,14,0,0.07
beringovskiy,-18.11,179.32,63.05,77,32,11.67
pyay,22.94,95.22,18.82,63,0,2.52
presidencia roque saenz pena,25.79,-60.44,-26.79,59,0,2.82
upernavik,-23.31,-56.15,72.79,100,32,2.77
